ASpace_ID,Names,Authority_ID,Source
203,Printed Editions,,
204,Something Else Press,,library of congress name authority file
205,Unpublished Editions (Firm) ,,library of congress name authority file
206,Field Museum of Natural History,,library of congress name authority file
207,New York World's Fair (1939-1940),,library of congress name authority file
208,Dance International (1937),,
209,Armand Hammer Museum of Art and Cultural Center,,library of congress name authority file
210,Art Institute of Chicago,,library of congress name authority file
211,Fort Worth Art Center-Museum,,library of congress name authority file
212,Huysman Gallery,,
213,Los Angeles County Museum of Art,,library of congress name authority file
214,San Francisco Museum of Modern Art,,library of congress name authority file
215,"Grange de Vaulerant (Seine-et-Oise, France)",,
216,"University of California, Los Angeles. Oral History Program",,library of congress name authority file
217,Dia:Beacon (Art museum),,library of congress name authority file
218,Miami International Airport,,library of congress name authority file
219,"Old Post Office and Clock Tower (Washington, D.C.)",,
220,"City Front Plaza (Chicago, Ill.)",,local
222,"Real Museo borbonico (Naples, Italy)",,library of congress name authority file
223,"Temple of Serapis (Pozzuoli, Italy)",,
224,"Temple of Augustus (Pula, Croatia)",,
225,"Comédie-Italienne (Paris, France)",,library of congress name authority file
226,Teatro della Pergola,,library of congress name authority file
227,"Teatro Farnese (Parma, Italy)",,library of congress name authority file
228,"Teatro mediceo degli Uffizi (Florence, Italy)",,
229,"Teatro regio (Parma, Italy)",,library of congress name authority file
230,"Théâtre-Italien (Paris, France)",,library of congress name authority file
231,Akademie der Künste,,
232,Wiener Kunstgewerbe-Schule,,library of congress name authority file
233,Oesterreichische Werkbund,,
234,Wiener Werkstätte,,library of congress name authority file
241,John Burgee Associates,,
242,Brücke (Artists' group),,library of congress name authority file
243,Neue Künstlervereinigung München,,library of congress name authority file
244,Obshchestvo molodykh architektov,,
245,Rossiĭskai︠a︡ akademii︠a︡ khudozhestvennykh nauk,,library of congress name authority file
246,Germanisches Nationalmuseum Nürnberg,,library of congress name authority file
247,Piper Verlag,,library of congress name authority file
248,Kreis für Kunst Köln,,
249,Sonderbund Westdeutscher Kunstfreunde und Künstler,,library of congress name authority file
252,Kasmin Limited,,
253,"Bibliotheca Hertziana, Max-Planck-Institut",,library of congress name authority file
254,Cleveland Museum of Art,,library of congress name authority file
255,"Chiesa della Martorana (Palermo, Italy)",,library of congress name authority file
256,Duomo di Monreale,,library of congress name authority file
257,"Panayia Kanakaria (Church : Lythrankomi, Cyprus)",,
258,"Santa Maria Antiqua (Church: Rome, Italy)",,library of congress name authority file
259,Dumbarton Oaks,,library of congress name authority file
260,Laemmle Gallery,,
261,Centro de Artes Visuales (Instituto Torcuato Di Tella),,library of congress name authority file
262,Bienal Internacional de São Paulo,,library of congress name authority file
263,Jüdisches Museum im Berlin Museum,,library of congress name authority file
264,VKhUTEMAS (Art school) ,,library of congress name authority file
265,Bantam Books (Firm),,library of congress name authority file
266,Bundesarchiv (Germany),,library of congress name authority file
267,Deutsche Gesellschaft für Photographie,,library of congress name authority file
268,"Harper & Row, Publishers",,library of congress name authority file
269,Imperial War Museum (Great Britain),,library of congress name authority file
270,Landesbildstelle Berlin,,library of congress name authority file
271,Macmillan Publishing Company,,library of congress name authority file
272,"Museum of Modern Art (New York, N.Y.)",,library of congress name authority file
273,"Simon and Schuster, inc.",,library of congress name authority file
274,Staatsbibliothek zu Berlin—Preussischer Kulturbesitz,,library of congress name authority file
275,Süddeutscher Verlag ,,library of congress name authority file
276,Time-Life Books ,,library of congress name authority file
277,Washington National Records Center (U.S.),,library of congress name authority file
278,"Galerie Paul Maenz (Cologne, Germany)",,library of congress name authority file
279,Art & Language (Group),,library of congress name authority file
280,Endart (Group of artists) ,,library of congress name authority file
281,Editions Sansot,,library of congress name authority file
282,"Galleria Toselli (Mila, Italy)",,
283,"Prospect 69 (1969 : Düsseldorf, Germany)",,
284,L. Saussine (Firm),,
285,"Riley Brothers, Ltd.",,
286,S. W. Fores (Firm),,
287,Liebig's Extract of Meat Company,,library of congress name authority file
288,Villa of the Papyri (Herculaneum),,
291,Friends of Photography,,library of congress name authority file
292,George Eastman House,,library of congress name authority file
293,Salzburg Seminar,,library of congress name authority file
294,Southworth & Hawes,,library of congress name authority file
295,University of New Mexico,,library of congress name authority file
296,American Oriental Society,,library of congress name authority file
297,"Alfred A. Knopf, Inc.",,library of congress name authority file
298,Cornell University Press,,
299,Pantheon Books,,library of congress name authority file
300,Sansoni (Firm),,library of congress name authority file
301,University of California Press,,library of congress name authority file
302,Tiffany and Company,,library of congress name authority file
303,Architectural Association (Great Britain),,library of congress name authority file
304,Architectural guides for travelers,,local
305,Courtauld Institute of Art,,library of congress name authority file
306,"Gemäldegalerie (Dresden, Germany)",,library of congress name authority file
307,Great Britain. Royal Fine Art Commission,,library of congress name authority file
308,Jerusalem Committee,,library of congress name authority file
309,Omega Workshops,,library of congress name authority file
310,Penguin (Firm),,library of congress name authority file
311,University of Cambridge,,library of congress name authority file
312,University of London,,library of congress name authority file
313,University of Oxford,,library of congress name authority file
315,Peggy Guggenheim Collection,,library of congress name authority file
316,C.H. Boehringer Sohn,,library of congress name authority file
317,Deutsche Spiegelglas A.G.,,library of congress name authority file
318,Deutscher Spinnereimaschinenbau Ingolstadt,,
319,Gesellschaft Deutscher Lichtbildner,,library of congress name authority file
320,Jenaer Glaswerk Schott & Gen.,,library of congress name authority file
321,Museum Folkwang Essen,,library of congress name authority file
322,Verlag Herder,,library of congress name authority file
323,"Deutsche Bibliothek (Frankfurt am Main, Germany) Sammlung Buchkunst",,
324,Deutsche Buch-Gemeinschaft,,library of congress name authority file
325,Deutscher Werkbund Berlin,,library of congress name authority file
326,Dr. Karl Thomae GmbH,,
327,Essener Steinkohlenbergwerke,,
328,"Fagus-Werk (Alfeld, Lower Saxony, Germany)",,library of congress name authority file
329,Focal Press,,
330,Hans Peters Verlag,,
331,"Krupp Stahl AG. Werk (Rheinhausen, Duisburg, Germany)",,library of congress name authority file
332,"Museum für Photographie (Dresden, Germany)",,
333,Obpacher Kunstverlag,,
334,Photo ciné club du Val de Bièvre,,
335,Photographische Gesellschaft in Wien,,library of congress name authority file
336,Presswerk AG,,
337,"Riedel & Co. (Bielefeld, Germany)",,
338,Staatliche Kunstakademie Düsseldorf,,library of congress name authority file
339,Sydslesvigs danske kunstforening,,library of congress name authority file
340,Werkstätten J. Dickerhoff,,
344,Galeria Vijande,,
345,United States. Works Progress Administration,,library of congress name authority file
346,United States. Office of War Information ,,library of congress name authority file
347,New York School of Art,,library of congress name authority file
352,"Schaeffer Galleries (New York, N.Y.)",,library of congress name authority file
354,Teikoku Hoteru,,library of congress name authority file
355,"Larkin Building (Buffalo, N.Y.)",,
356,Taliesin Fellowship,,library of congress name authority file
357,"Unitarian Universalist Church in Oak Park (Oak Park, Ill.) ",,library of congress name authority file
358,"Paul R. Hanna House (Stanford, Calif.)",,
359,"Annunciation Greek Orthodox Church (Milwaukee, Wis.)",,library of congress name authority file
361,"Wayfarers Chapel (Rancho Palos Verdes, Calif.) ",,library of congress name authority file
362,Frank Lloyd Wright Foundation,,library of congress name authority file
363,"Sears, Roebuck and Company",,library of congress name authority file
366,"Case Study House No. 9 (Los Angeles, Calif.)",,library of congress name authority file
392,Williams and Williams,,local
393,"Williams, Clark & Williams",,local
398,"Société des artistes indépendants (Paris, France)",,library of congress name authority file
399,"Exposition de peintres provencaux (Marseilles, France)",,
400,"John Reed Club (Los Angeles, Calif.)",,
401,Internationale situationniste,,library of congress name authority file
402,Soviet Union—Red Army,,ingest
403,Congress of Soviets (5th: 1918: Moscow),,local
404,Russian S.F.S.R.—People's Commissariat of Enlightenment,,ingest
405,Art Institute of Chicago (Masterpieces of Italian art),,ingest
406,Committee to Defend America by Aiding the Allies,,library of congress name authority file
408,Frick Collection,,library of congress name authority file
409,Barnes Foundation,,library of congress name authority file
410,M.H. De Young Memorial Museum ,,library of congress name authority file
412,Thomas Agnew & Sons,,library of congress name authority file
413,"Barbizon House (London, England)",,library of congress name authority file
414,"French Gallery (London, England)",,library of congress name authority file
415,Goupil Gallery,,library of congress name authority file
416,Arthur Tooth & Sons,,library of congress name authority file
417,"Tooth Paintings, London",,
418,"Tooth Galleries, London",,
419,Asociación de Arte Constuctivo,,
420,Cine Club del Uruguay,,library of congress name authority file
421,John Simon Guggenheim Memorial Foundation,,library of congress name authority file
422,Taller Torres-García,,library of congress name authority file
423,"Amigos del Arte (Association : Buenos Aires, Argentina)",,library of congress name authority file
424,Sächsische Lehrerverein,,
425,Gebr. Fretz (Firm),,library of congress name authority file
426,"New Museum of Contemporary Art (New York, N.Y.)",,library of congress name authority file
427,Whitney Museum of American Art,,library of congress name authority file
428,Merce Cunningham Dance Company,,library of congress name authority file
429,Museo Nacional de México,,library of congress name authority file
430,Vienna International Exhibition (1873),,library of congress name authority file
431,Vizetelly and Company (1850-1855),,library of congress name authority file
432,Vizetelly Brothers & Co.,,library of congress name authority file
433,Vizetelly & Co. (1880-1889),,library of congress name authority file
434,Imprimerie de Béthune & Plon,,
435,Pagnerre (Firm) ,,library of congress name authority file
436,VKhUTEIN (Art School) ,,library of congress name authority file
437,International Congress for Modern Architecture,,
438,Implosions (Firm),,
439,"Exposition internationale des arts décoratifs et industriels modernes (1925 : Paris, France) ",,library of congress name authority file
442,Alfred Schmela Galerie,,library of congress name authority file
443,Galleria dell'Ariete,,library of congress name authority file
444,Ariete Grafica,,local
445,Old Masters (Painting and Sculptures) Ltd.,,
446,P. & D. Colnaghi & Co.,,library of congress name authority file
447,J. Paul Getty Trust. Board of Trustees,,
451,Harrison Price Company,,library of congress name authority file
452,"Texaco, inc.",,library of congress name authority file
453,Pennzoil Company,,library of congress name authority file
454,Skidmore College,,library of congress name authority file
455,Hyde Collection Art Museum,,library of congress name authority file
460,J. Paul Getty Museum. Photo Archive,,
461,G.K. Hall & Company,,library of congress name authority file
462,"KCET (Television station : Los Angeles, Calif.)",,library of congress name authority file
463,University of Southern California,,library of congress name authority file
464,Sunset Mesa Property Owners Association,,local
465,California Chamber Symphony Society,,
466,"Festival Players of California, Incorporated",,local
467,Denver Art Museum,,library of congress name authority file
474,Neptune & Thomas Associates,,local
477,"Isabella Stewart Gardner Museum (Boston, Massachusetts)",,ingest
478,Getty Education Institute for the Arts. Slide Library,,local
481,Museum Educational Site Licensing Project,,library of congress name authority file
482,Andrew W. Mellon Foundation,,library of congress name authority file
483,Library of Congress,,library of congress name authority file
484,"University of California, Los Angeles. Fowler Museum of Cultural History",,library of congress name authority file
485,MUSE Film and Television,,library of congress name authority file
486,Harvard University. Art Museums,,library of congress name authority file
487,"Museum of Fine Arts, Houston",,library of congress name authority file
488,National Museum of American Art (U.S.),,library of congress name authority file
489,"American University (Washington, D.C.)",,library of congress name authority file
491,Cornell University,,library of congress name authority file
492,University of Illinois at Urbana-Champaign,,library of congress name authority file
493,University of Maryland at College Park,,library of congress name authority file
494,University of Michigan,,library of congress name authority file
495,University of Virginia,,library of congress name authority file
496,Claud Beelman & Associates,,
497,"John Byers, Architect",,local
498,Gruen Associates,,library of congress name authority file
499,Arthur Andersen & Co.,,library of congress name authority file
500,Morgan Stanley & Co.,,library of congress name authority file
501,Mitchell/Giurgola Architects,,library of congress name authority file
502,I.M. Pei & Partners,,library of congress name authority file
503,Maki and Associates,,library of congress name authority file
505,Venturi Scott Brown and Associates,,library of congress name authority file
506,Brown University. . Institute for Research in Information and Scholarship,,library of congress name authority file
513,J. Paul Getty Trust. Public Affairs Department,,library of congress name authority file
520,Long Beach Museum of Art,,library of congress name authority file
521,Einsatzstab Reichsleiter Rosenberg für die Besetzten Gebiete,,library of congress name authority file
522,Kommission zur Verwertung der eingezogenen Produkte entarteter Kunst,,
523,Kunsthaus Lempertz,,library of congress name authority file
524,Stuttgarter Kunstkabinett,,library of congress name authority file
525,Verlag Das Beste GmbH,,library of congress name authority file
526,Ernst Barlach Gesellschaft,,library of congress name authority file
527,Privatinitiative Kunst,,
528,Deutsche Zentralverwaltung für Volksbildung in der Sowjetischen Besatzungszone,,
529,Galerie Fischer,,library of congress name authority file
530,"Woman's Building (Los Angeles, Calif.)",,library of congress name authority file
533,Kreis der Freunde des Bauhauses ,,
534,Svenska institutet i Athen,,library of congress name authority file
535,Studio Z (Firm),,
548,Guerrilla Girls (Group of artists),,library of congress name authority file
549,Studio International (Firm),,library of congress name authority file
550,Toymakers Co-operative,,local
551,Mouvement lettriste,,library of congress name authority file
552,Kunstarchiv Arntz,,library of congress name authority file
554,Getty Art History Information Program . Art and Architecture Thesaurus,,library of congress name authority file
555,Répertoire international de la littérature de l’art,,library of congress name authority file
556,Architectural Drawings Advisory Group,,library of congress name authority file
557,Provenance Index of the Getty Art History Information Program,,library of congress name authority file
558,Getty Provenance Index,,library of congress name authority file
559,Census of Antique Works of Art and Architecture Known in the Renaissance (Project),,library of congress name authority file
560,Art & Language (New York),,
562,Getty Art History Information Program. Director's Office,,
563,Getty Information Institute. Director's Office,,
565,J. Paul Getty Museum. Signage Department,,local
568,Jan Baum Gallery,,library of congress name authority file
569,Jan Baum-Iris Silverman Gallery,,library of congress name authority file
573,Getty Information Institute. Vocabulary Program,,library of congress name authority file
574,Getty Art History Information Program. Scholarly Coordination of Art Historical Projects Program,,local
575,Getty Art History Information Program. Issues and Policy Program,,local
576,Getty Information Institute. Network Initiatives Program,,local
577,Getty Information Institute.. Special Projects Program,,local
581,J. Paul Getty Trust. Institutional Records and Archives,,
582,SubGenius Foundation,,library of congress name authority file
584,J. Paul Getty Trust. Office of Strategic Partnerships,,
586,Getty Art History Information Program. Scholarly Information Development Program,,local
587,Getty Art History Information Program. Information Standards and Services Program,,local
588,Getty Information Institute. Standards and Research Projects Program,,local
589,Getty Art History Information Program. Vocabulary Coordination Group,,library of congress name authority file
590,"Bush House (London, England)",,
591,Epinal American Cemetery (France),,
592,Rolf Nelson Gallery,,
594,La Torre,,
596,Lawrence & Houseworth,,library of congress name authority file
597,Negretti and Zambra,,library of congress name authority file
598,Ogle and Edge,,
599,"Smith, Beck, and Beck",,library of congress name authority file
601,California Institute of the Arts,,library of congress name authority file
602,Aubert y Cia,,
603,Ghémar Frères,,library of congress name authority file
604,P. Kaeser's Kunsthandlung,,
605,Mayer & Pierson,,library of congress name authority file
606,Photographie Richelieu,,
607,Sarrault & Lombard,,
609,Decan,,
610,Wild,,
611,Dubos frères et Marest,,
612,"J. Rigo, Lebref et Cie",,
613,Museo Vostell de Malpartida de Cáceres,,library of congress name authority file
614,Frank Brothers,,local
615,Harrington & Norman,,
616,G.R. Lambert & Co.,,library of congress name authority file
618,Nicholas & Co.,,
619,Getty Information Institute. Administrative Services Department,,local
621,Getty Research Institute. Bibliography of the History of Art,,
622,Woodbury & Page,,library of congress name authority file
623,Photo Zürich,,
624,Hauser y Menet,,library of congress name authority file
625,"J. Laurent y Cia (Madrid, Spain)",,library of congress name authority file
626,Getty Conservation Institute. Publications Department,,
629,Fotografia dell'Emlia,,
630,Detroit Publishing Co.,,
631,M. Frankenstein & Co.,,
632,Reale Fotografia Giacomelli,,
633,Sommer & Behles,,library of congress name authority file
634,Libreria Spithöver,,library of congress name authority file
635,Stengel & Co.,,library of congress name authority file
636,Zedler & Vogel,,library of congress name authority file
637,Fotografia Cuccioni,,
638,High Performance,,local
639,Bob & Bob,,library of congress name authority file
640,American Academy in Rome,,library of congress name authority file
641,Love Press,,local
648,Children's Televison Workshop,,library of congress name authority file
650,J. Paul Getty Trust. Human Resources Department,,local
653,Getty Underground,,
654,Getty Center for the History of Art and the Humanities. Director's Office,,local
655,Museo nazionale di Napoli,,library of congress name authority file
656,Ethnikon Archaiologikon Mouseion (Greece),,library of congress name authority file
657,Galleria degli Uffizi,,library of congress name authority file
658,Mouseio Akropolēs,,library of congress name authority file
659,"Mostra augustea della romanità (1937-1938: Rome, Italy)",,local
661,"Julius H. Weitzner, Inc.",,
663,Kunsthandel P. de Boer,,library of congress name authority file
664,Honnef Archive,,
666,American School of Classical Studies at Athens,,library of congress name authority file
667,Bildarchiv Foto Marburg,,library of congress name authority file
669,"University of California, Los Angeles. Department of Classics",,library of congress name authority file
670,Accademia di San Luca,,library of congress name authority file
671,École nationale supérieure des beaux-arts (France),,library of congress name authority file
672,Victoria and Albert Museum,,library of congress name authority file
673,Gosudarstvennyĭ Ėrmitazh (Russia),,library of congress name authority file
674,Asociación Sancho Ramirez,,local
675,Semina Art Gallery,,local
676,Congress of Racial Equality,,library of congress name authority file
677,Black Panther Party,,library of congress name authority file
682,Armory Center for the Arts,,library of congress name authority file
683,Kölner Kunstmarkt,,
684,Verein progressiver deutscher Kunsthändler,,
685,Industrias Kaiser Argentina,,library of congress name authority file
686,Wadsworth Atheneum,,library of congress name authority file
687,Galerie Vollard,,
688,Wilhelmwerk (Firm),,local
689,Bienal Americana de Arte,,
691,J. Paul Getty Trust. Education Policy Office,,
693,Ballet International,,
694,"Biennale di Venezia (Venice, Italy)",,library of congress name authority file
695,"Galerie Maeght (Paris, France)",,library of congress name authority file
696,Galleria nazionale d'arte moderna (Italy) ,,library of congress name authority file
699,Rosenberg & Stiebel,,library of congress name authority file
701,Clément Braun et Cie,,
702,Rhomaides frères,,library of congress name authority file
703,Kappe Lotery Boccato Architects Planners,,local
706,Kahn Kappe Lotery Architects Planners,,local
707,Kahn Kappe Lotery Boccato Architects Planners,,local
708,J. Paul Getty Trust. Office of General Counsel,,
709,J. Paul Getty Trust. Investment Administration,,
710,Hay'at al-Āthār al-Mişrīyah,,library of congress name authority file
711,Cyprus. Tmēma Archaiotētōn,,library of congress name authority file
713,Films by Alexa Oona Schulz (Firm),,local
718,Patricia Faure Gallery,,library of congress name authority file
719,Asher & Faure,,library of congress name authority file
720,Los Angeles Filmforum,,
721,Getty Research Institute. Publications department,,
722,"Pomona College (Claremont, Calif.). Museum of Art",,library of congress name authority file
723,Bisson frères,,library of congress name authority file
729,Getty Research Institute. Special Collections Cataloging,,
731,"Palmer & Krisel, AIA, Architects",,local
732,"Palmer, Krisel & Lindsay, AIA, Architects",,local
733,"William Krisel, AIA, Architect",,local
734,Krisel/Shapiro & Associates,,local
735,American Museum of Ceramic Art,,library of congress name authority file
736,American Academy of Arts and Sciences,,library of congress name authority file
738,UCLA Film and Television Archive,,library of congress name authority file
739,Ruth Chandler Williamson Gallery,,library of congress name authority file
740,Soho 20 (Gallery),,library of congress name authority file
